event_id,anomaly_score,reconstruction_error,latent_distance,predicted_anomaly,true_anomaly
146,0.005055695,0.742503,1.2231694,0,0
147,0.0057220114,16.786968,1.2652751,0,0
148,0.005007968,0.21782146,1.2194253,0,0
149,0.00519109,1.5892487,1.234539,0,0
150,0.0051676007,0.37383834,1.2338123,0,0
151,0.0050354,1.1481572,1.2208443,0,0
152,0.0051100957,0.66143656,1.2282288,0,0
153,0.0049763024,3.3531396,1.21288,0,0
154,0.0050427667,0.69172704,1.2220488,0,0
155,0.0050781397,0.15938632,1.2258977,0,0
156,0.005107071,0.20524871,1.2284846,0,0
157,0.0049652797,2.3850083,1.2130027,0,0
158,0.006320026,49.36848,1.2818671,0,0
159,0.005547077,7.9621334,1.2595983,0,0
160,0.005286999,1.8587474,1.242978,0,0
161,0.006413318,43.491215,1.2972336,0,0
162,0.0057262164,43.85371,1.2341026,0,0
163,0.0050869468,0.16269518,1.2266976,0,0
164,0.005005651,3.8132582,1.2150221,0,0
165,0.00520125,0.643296,1.2365692,0,0
166,0.009988167,258.49918,1.3728213,0,0
167,0.0050824694,1.2752362,1.2249919,0,0
168,0.005074254,0.80510473,1.2247902,0,0
169,0.0049710185,4.82244,1.2106848,0,0
170,0.0050561894,0.17646717,1.2238744,0,0
171,0.0051529664,1.2969577,1.2314005,0,0
172,0.005347886,14.067659,1.2343009,0,0
173,0.005083927,0.13683839,1.2264521,0,0
174,0.0050827917,0.17096955,1.2263087,0,0
175,0.005447023,4.6682925,1.254307,0,0
176,0.005051532,0.29339585,1.2233131,0,0
177,0.0050554886,0.24474582,1.2237309,0,0
178,0.0051099355,0.18082124,1.2287745,0,0
179,0.0050979243,0.1863719,1.2276719,0,0
180,0.0050811116,1.1275123,1.2250402,0,0
181,0.0066518188,65.16185,1.2937353,0,0
182,0.005119804,0.62080663,1.2291622,0,0
183,0.005073883,2.0559359,1.2232981,0,0
184,0.0051021455,0.5895722,1.227587,0,0
185,0.0057736197,19.02709,1.2673734,0,0
186,0.005305302,24.32719,1.2184532,0,0
187,0.0049759117,0.71629447,1.2159185,0,0
188,0.38630736,17778.074,15.292089,1,0
189,0.005120492,0.19133966,1.2297257,0,0
190,0.005088801,0.17595024,1.2268513,0,0
191,0.005067351,0.48455095,1.2245339,0,0
192,0.0053199623,9.470822,1.2371117,0,0
193,0.005619282,48.543907,1.218875,0,0
194,0.012124897,949.2661,0.76248693,0,0
195,0.33627382,19733.557,8.445944,1,0
196,0.0051122243,1.1524005,1.2278507,0,0
197,0.012896658,569.8666,1.2752515,0,0
198,0.011686439,487.40698,1.2609378,0,0
199,0.005106466,0.6829456,1.2278725,0,0
